ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09,symbol
2024-10-07T08:00:00.018923254Z,2024-10-07T08:00:00.018756585Z,10,2,16244,A,N,0,233.18,858,130,166669,274585,233.18,,858,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.020626374Z,2024-10-07T08:00:00.020456545Z,10,2,16244,A,A,0,253.28,399,130,169829,274683,233.18,253.28,858,399,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.020672253Z,2024-10-07T08:00:00.020505237Z,10,2,16244,A,B,0,248.18,399,130,167016,274685,248.18,253.28,399,399,1,1,233.18,,858,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.033772155Z,2024-10-07T08:00:00.033534715Z,10,2,16244,A,B,2,223.23,200,128,237440,274891,248.18,253.28,399,399,1,1,233.18,,858,0,1,0,223.23,,200,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,TSLA
2024-10-07T08:00:00.033772155Z,2024-10-07T08:00:00.033537725Z,10,2,17709,A,N,0,126.31,801,128,234430,274895,,126.31,0,801,0,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.033871870Z,2024-10-07T08:00:00.033609869Z,10,2,17709,A,B,0,123.77,801,128,262001,274954,123.77,126.31,801,801,1,1,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,XOM
2024-10-07T08:00:00.034203676Z,2024-10-07T08:00:00.033950930Z,10,2,9155,A,N,0,211.35,2,128,252746,275120,211.35,,2,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.034659757Z,2024-10-07T08:00:00.034490779Z,10,2,38,A,N,0,217.0,100,130,168978,275205,217.0,,100,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,AAPL
2024-10-07T08:00:00.051727024Z,2024-10-07T08:00:00.051560933Z,10,2,9155,A,B,1,208.83,473,130,166091,275520,211.35,,2,0,1,0,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
2024-10-07T08:00:00.051744505Z,2024-10-07T08:00:00.051578011Z,10,2,9155,A,A,0,213.13,473,130,166494,275523,211.35,213.13,2,473,1,1,208.83,,473,0,1,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,0,0,0,0,JPM
