Stock A,Stock B,Lag,Baseline R-squared,Enhanced R-squared,R-squared Improvement
values,to,50ms,0.5959711542153047,0.7820568828670384,0.18608572865173378
values,to,100ms,0.5963532386846044,0.7818755842462101,0.18552234556160563
values,to,500ms,0.5942523375045168,0.779555434780957,0.18530309727644023
values,to,1s,0.5953357609294185,0.778632151012929,0.1832963900835105
values,to,5s,0.5959926629398948,0.7820597408332803,0.1860670778933855
values,to,10s,0.5836536813402262,0.769723671429658,0.1860699900894318
values,to,1min,0.560644031466067,0.7577404276218613,0.19709639615579433
values,to,5min,0.5396364756282062,0.7379795010284425,0.1983430254002363
values,to,50ms,0.45050518058709266,0.6663290197746088,0.21582383918751613
values,to,100ms,0.4521297420747281,0.6721528079736011,0.220023065898873
values,to,500ms,0.47477663217056576,0.6903388966120128,0.215562264441447
values,to,1s,0.4737814434669171,0.7143886006569691,0.240607157190052
values,to,5s,0.4573706425131784,0.6306556969428037,0.17328505442962527
values,to,10s,0.48362438641311345,0.6583682907212599,0.17474390430814646
values,to,1min,0.4284935112960786,0.5754662876182837,0.14697277632220507
values,to,5min,0.49773005070707343,0.6441746123027752,0.14644456159570174
values,to,50ms,0.051076812939988114,0.23123033177731944,0.18015351883733133
values,to,100ms,0.05419236456898213,0.230245983616871,0.17605361904788885
values,to,500ms,0.022793710065467487,0.2053534211372745,0.18255971107180702
values,to,1s,0.04159332030722662,0.20187648531546964,0.16028316500824302
values,to,5s,0.09538453546019421,0.19207479002896477,0.09669025456877056
values,to,10s,-0.021864843056221828,0.08962809021021756,0.11149293326643939
values,to,1min,-0.010206947338369687,0.07894937797392998,0.08915632531229967
values,to,5min,-0.007854663007077711,0.08738068668432242,0.09523534969140013
values,to,50ms,0.5484277378149924,0.7871143687591288,0.23868663094413634
values,to,100ms,0.550146331906444,0.7919950079836104,0.24184867607716642
values,to,500ms,0.5392944812294856,0.7550407771101425,0.21574629588065686
values,to,1s,0.5446807931846575,0.7642155232018513,0.2195347300171938
values,to,5s,0.5762731874307929,0.7951622504356383,0.21888906300484534
values,to,10s,0.5558542264432802,0.7801655409662431,0.22431131452296293
values,to,1min,0.6052263127898396,0.7934081965409988,0.18818188375115918
values,to,5min,0.5320337546440801,0.7454933064087778,0.21345955176469766
values,to,50ms,0.19935534210435557,0.3188369362392668,0.11948159413491122
values,to,100ms,0.19748599722932447,0.3216858004008297,0.12419980317150525
values,to,500ms,0.19522021554433522,0.3037781923591152,0.10855797681477997
values,to,1s,0.2630288754905047,0.3676828189346305,0.10465394344412582
values,to,5s,0.24076006842038322,0.3431886773355507,0.10242860891516747
values,to,10s,0.08934147155541705,0.10381555120275143,0.014474079647334381
values,to,1min,0.2241289611399443,0.34603091696013577,0.12190195582019148
values,to,5min,0.27834236846435434,0.43086754079168976,0.15252517232733542
values,to,50ms,-0.09241490396576757,-0.07437595362154048,0.01803895034422709
values,to,100ms,-0.07925442867091004,0.1153825120525197,0.19463694072342974
values,to,500ms,-0.41841588253160533,0.2635700830828195,0.6819859656144248
values,to,1s,-0.6102755194340583,0.42390341105027074,1.034178930484329
values,to,5s,0.04715120010843199,0.37609834594219527,0.3289471458337633
