Stock_A,Stock_B,Feature_Importance,R_Squared,Impact_Type
AAPL,AAPL,0.37046542208106875,-0.10516538486966787,Self-Impact
AMGN,AMGN,0.336734659934955,-0.09613837762188382,Self-Impact
TSLA,TSLA,0.3192630957298391,-0.12238242898412643,Self-Impact
JPM,JPM,0.31289520883594063,-0.5848132097238161,Self-Impact
XOM,XOM,0.2812247421792446,-0.11718099780372726,Self-Impact
AAPL,AMGN,0.6181562207626287,0.7819227983590589,Cross-Impact
AAPL,TSLA,0.4338437223187086,0.2285503875630558,Cross-Impact
AAPL,JPM,0.6240602681958727,0.6622140852304715,Cross-Impact
AAPL,XOM,0.686775047564437,0.7931737290728507,Cross-Impact
AMGN,AAPL,0.5689718477981195,0.32654311650229095,Cross-Impact
AMGN,TSLA,0.41522445016062093,0.2216249211652518,Cross-Impact
AMGN,JPM,0.34001493418418927,-0.002227315485038295,Cross-Impact
AMGN,XOM,0.6906938915400521,0.7347314398402254,Cross-Impact
TSLA,AAPL,0.5602985220070281,0.5688349998661508,Cross-Impact
TSLA,AMGN,0.5789426176566886,0.768797748349004,Cross-Impact
TSLA,JPM,0.6102321132377093,0.6767261399316506,Cross-Impact
TSLA,XOM,0.7140894487941216,0.8176011891651621,Cross-Impact
JPM,AAPL,0.539454436119481,0.5156513652560818,Cross-Impact
JPM,AMGN,0.5588377753313685,0.7565019605274244,Cross-Impact
JPM,TSLA,0.4373438902956744,0.15451953056681833,Cross-Impact
JPM,XOM,0.7104798177526767,0.6807796122079324,Cross-Impact
XOM,AAPL,0.44352615793738936,0.35477635758595105,Cross-Impact
XOM,AMGN,0.6051321758107794,0.5872953858562444,Cross-Impact
XOM,TSLA,0.42382424627704046,0.10076014958325075,Cross-Impact
XOM,JPM,0.5732418491567434,0.6225668332332588,Cross-Impact
